application_id,company_experience_years,previous_similar_projects,total_employees,engineers_count,machinery_count,offered_budget_MAD,estimated_budget_MAD,budget_difference_ratio,proposed_duration_days,total_length_km,road_width_m,lanes,category,road_class,terrain_type,soil_type,slope,compliance_issues_count,technical_score,financial_score,is_fraudulent
128,28,3,644,10,40,181500000,180500000,0.0055,765,219,3,1,Regional,Secondary,Desert,Rocky,High,0,94.47,99.45,0
8006,19,6,933,14,48,309500000,208500000,0.4844,198,34,14,4,Autoroute,Primary,Mixed,Rocky,Moderate,3,49.59,67.37,1
5549,8,5,699,10,45,89500000,94500000,-0.0529,988,172,3,1,Provincial,Secondary,Flat,Rocky,Moderate,1,75.54,100.0,0
2318,4,2,51,1,4,105500000,117000000,-0.0983,211,93,7,2,Regional,Secondary,Mixed,Clay,Moderate,0,99.34,100.0,0
3524,25,8,288,4,12,140500000,155500000,-0.0965,240,92,7,2,National,Primary,Flat,Clay,Low,1,91.88,100.0,0
2552,19,9,970,5,27,123000000,122000000,0.0082,475,149,3,1,Provincial,Secondary,Coastal,Rocky,High,0,94.88,99.19,0
2151,12,6,915,6,57,494500000,502500000,-0.0159,409,164,7,2,National,Primary,Coastal,Clay,High,0,79.39,100.0,0
468,14,4,275,4,10,1611500000,1561000000,0.0324,1291,218,14,4,Autoroute,Primary,Mixed,Sandy,Moderate,0,97.42,96.87,0
4274,16,5,979,11,57,283500000,307500000,-0.078,396,82,14,4,National,Primary,Desert,Rocky,Moderate,0,95.73,100.0,0
5016,25,5,719,5,15,131000000,134500000,-0.026,425,71,7,2,National,Primary,Desert,Rocky,Low,0,90.17,100.0,0
4729,6,9,560,3,35,287000000,301500000,-0.0481,95,43,14,4,Autoroute,Primary,Coastal,Sandy,High,0,99.09,100.0,0
4129,25,3,787,14,40,94500000,87000000,0.0862,589,187,3,1,Provincial,Secondary,Coastal,Sandy,Moderate,0,83.33,92.06,0
1389,7,3,157,1,3,115000000,115000000,0.0,336,64,7,2,Regional,Secondary,Coastal,Clay,Moderate,0,85.38,100.0,0
726,26,3,289,3,11,141500000,133000000,0.0639,1159,203,3,1,Provincial,Secondary,Mixed,Clay,High,0,87.2,93.99,0
5467,21,9,412,3,15,1000500000,1103500000,-0.0933,842,203,14,4,Autoroute,Primary,Flat,Clay,Low,0,99.38,100.0,0
3269,13,8,585,7,23,134000000,129000000,0.0388,1272,223,3,1,Provincial,Secondary,Flat,Sandy,Moderate,0,79.96,96.27,0
9337,29,5,773,8,23,1453500000,1064500000,0.3654,918,163,14,4,Autoroute,Primary,Mixed,Rocky,Low,2,53.52,73.24,1
